Question,A,B,C,D,Correct Answer,Feedback / Explanation
Which of the following is an example of discriminatory misrepresentation?,An agent informs a prospective tenant who is disabled that the property is no longer available when it is,An agent informs a prospective tenant who is disabled that the property is handicap accessible,An agent informs a prospective tenant that their application has been denied due to their poor credit scores,An agent informs a prospective buyer that the property has many nearby amenities,a,"An agent may not conceal available properties, represent that they are not for sale or rent, or change the sale terms for the purpose of discriminating. For example, an agent who lies about the availability of a unit to a disabled person is violating fair housing laws"
Which of the following is an example of steering?,An agent shows a person homes that are only located in minority neighborhoods,An agent shows a person homes that they only qualify for and refuses to show higher-priced properties that they do not qualify for,An agent shows a disabled person homes that are handicap accessible and have specific amenities,"An agent shows a couple expecting their first child a 3-bedroom home, although they requested to see 2-bedroom homes ",a,Steering is the practice of directly or indirectly channeling customers toward or away from homes and neighborhoods. An agent who shows a person homes that are located only near certain places of worship is steering
Redlining is defined as,identifying a community by indicating the outer boundary in red,identifying the area that a client has an interest in purchasing properties,refusing to make loans in specific neighborhoods regardless of financial qualifications,refusing to show million-dollar listings to someone who does not qualify,c,"Redlining is the residential financing practice of refusing to make loans on properties in a specific neighborhood regardless of a mortgagor's qualifications. In effect, the lender draws a red line around an area on the map and denies all financing to applicants within the encircled area"
"There are exemptions to the fair housing laws for certain properties.  For example,",all privately-owned single-family home,a public park district facility,an owner-occupied building with four units if advertising is not discriminatory,a religious organization with discriminatory membership requirements,c,"The Fair Housing Act allows for exemptions under a few specific circumstances. These are: a privately owned single-family home where no broker is used and no discriminatory advertising is used, with certain additional conditions, rental of an apartment in a 1-4 unit building where the owner is also an occupant, provided the advertising is not discriminatory, facilities owned by private clubs and leased non-commercially to members, facilities owned by religious organizations and leased non-commercially to members, provided membership requirements are not discriminatory"
Federal Fair Housing laws do not prohibit age and familial status discrimination under which of the following circumstances?,A gated townhome community that does not allow school buses to enter,A retirement community if all residents are 62 years of age and older,A condominium building that lacks a pool and play area,A 3-flat apartment building that is not owner-occupied,b,"Federal fair housing laws do not prohibit age and family status discrimination under the following circumstances: in government-designated retirement housing, in a retirement community if all residents are 62 years of age or older, in a retirement community if 80 % of the dwellings have one person who is 55 years of age or older, provided there are amenities for elderly residents, in residential dwellings of four units or less, and single-family houses if sold or rented by owners who have no more than three houses"
Amendments to the original fair housing laws were made with the Fair Housing Amendments Act of 1988.  The amendments included discrimination against,handicapped persons and familial status,age and families with more than four children,all occupants under the age of 21,low credit scores,a,The Fair Housing Amendments Act of 1988 included handicapped persons and families with children as additional categories of protection
"If a real estate agent encounters discriminatory behavior on the part of the client, the agent should",avoid a confrontation and go along with a client’s discriminatory act,pretend as if the discrimination never occurred,withdraw from any relationship where client discrimination occurs,ignore the discriminatory comments,c,"If the real estate agent goes along with a client’s discriminatory act, the agent is equally liable for the violation of fair housing laws. Thus it is imperative to avoid complicity with client discrimination and withdraw from any relationship where client discrimination occurs"
Which of the following statements is true regarding the Equal Credit Opportunity Act (ECOA)?,The ECOA was enacted in 1974,The ECOA was enacted in 1968,The ECOA allows lenders to deny loans without explaining the reason for denial,The ECOA is designed to prohibit redlining,a,The Equal Credit Opportunity Act (ECOA) was enacted in 1974. The Act requires lenders to be fair and impartial in determining who qualifies for a loan
Complaints alleging fair housing violations may be filed within one year of the violation with the,National Association of Realtors®,local housing enforcement authorities,local police,Office of Fair Housing and Equal Opportunity,d,"Persons who feel they have been discriminated against under federal fair housing laws may file a complaint with the Office of Fair Housing and Equal Opportunity (FHEO) within HUD, or they may file suite in a federal or state court. Complaints alleging fair housing violations must be filed with the Office of Fair Housing and Equal Opportunity within one year of the violation. HUD then initiates an investigation in conjunction with federal or local enforcement authorities"
"Instead of or in addition to filing a complaint, a party may file suit in state or federal court",within one year of the violation,within two years of the allegation,if the one filing the complaint is the aggrieved party,if the allegation is directly related to the purchase of real estate,b,"In addition to or instead of filing a complaint with HUD, a party may file suit in state or federal court within two years of the alleged violation"
Which of the following may occur if it is found that a fair housing complaint warrants further action?,The aggrieved parties will automatically be awarded fair compensation,The aggrieved parties may file suit in state or federal court,The aggrieved parties must wait two years before re-filing the complaint,The respondent will be arrested,b,"If HUD decides that the complaint merits further action, it will attempt to resolve the matter out of court.  If efforts to resolve the problem fail, the aggrieved party may file suit in state or federal court"
"If discrimination is confirmed in court, which of the following may apply?",The respondent may be ordered to pay compensation for damages,"The aggrieved parties may be awarded $50,000 for each confirmed violation",The respondent’s penalty may include jail time,The aggrieved parties may decide the penalties,a,"If discrimination is confirmed in court, the respondent may be enjoined to cease practicing his or her business.   Also, the plaintiff may be compensated for damages, including humiliation, suffering and pain.  The courts may also impose civil penalties"
The law that requires lenders to be fair and impartial in determining who qualifies for a loan is the ,Home Mortgage Disclosure Act,Equal Credit Opportunity Act,Federal Fair Housing Act,Americans with Disabilities Act,b,"Enacted in 1974, the Equal Credit Opportunity Act requires lenders to be fair and impartial in determining who qualifies for a loan. A lender may not discriminate on the basis of race, color, religion, national origin, sex, marital status, or age.  The act also requires lender to inform prospective borrowers who are being denied credit of the reasons for the denial"
The statute requiring lenders involved with federally guaranteed or insured loans to exercise impartiality and non-discrimination in the geographical distribution of their loan portfolio is known as the,Home Mortgage Disclosure Act,Equal Credit Opportunity Act,Federal Fair Housing Act,Americans with Disability Act,a,The Home Mortgage Disclosure Act is designed to prohibit redlining.  It is enforced in part by requiring lenders to report to authorities where they have placed their loans
"The civil rights law prohibiting discrimination against individuals with disabilities in all areas of public life, including employment, education, transportation, and facilities that are open to the general public is known as the",Home Mortgage Disclosure Act,Equal Credit Opportunity Act,Federal Fair Housing Act,Americans with Disability Act,d,"The ADA, which became law in 1990, is a civil rights law that prohibits discrimination against individuals with disabilities in all areas of public life, including employment, education, transportation and facilities that are open to the general public"
"An amendment to the Americans with Disabilities Act (ADA) became effective on January 1, 2009, and, among other things, clarified the definition of disability to be as a",physical or mental condition that affects one’s ability to work,temporary or long-term condition that limits one’s movement,mental impairment that substantially limits one or more major life activities,"condition that impairs the individual’s ability to run, jump, see, or hear",c,"The Americans with Disabilities Act Amendments Act (ADAAA) became effective on January 1, 2009. Among other things, the ADAAA clarified that a disability is “a physical or mental impairment that substantially limits one or more major life activities.”"
The Americans with Disabilities Act (ADA) applies to which of the following?,All private employers with 15 or more employees,All private homes,All properties with two or more stories,All real estate offices,a,"The ADAAA clarified that it applies to “all titles of the ADA and covers private employers with 15 or more employees state and local governments, employment agencies, labor unions, agents of the employer, joint management labor committees, and private entities considered places of public accommodation“."
The Americans with Disabilities Act Amendments Act (ADAAA) applies to which of the following categories?,Employment,Housing,Office buildings,Private clubs,a,"The ADAAA also clarified that it applies to “state and local governments, employment agencies, labor unions, agents of the employer, joint management labor committees, and private entities considered places of public accommodation.”"
Which of the following is an example of a wrongful way for a landlord to deal with a disabled tenant?,A landlord requests that modifications made to a unit by the tenant be restored,A landlord installs a handicap ramp without the tenant’s consent,A landlord refuses to install a handicap ramp,A landlord shows the 5th-floor unit to a person with disabilities,c,The ADA requires that landlords modify housing and facilities so that disabled persons can access them without hindrance.  Modifications to a building would include the installation of a ramp
Which of the following statements is true regarding a requirement of the Americans with Disabilities Act (ADA)?,The ADA makes no exceptions and requires landlords to make all modifications requested by a disabled tenant ,The ADA requires that existing barriers be removed regardless of the cost to the employer,The ADA requires that disabled employees be compensated for any special accommodations requested and not received,The ADA requires that disabled employees be treated as other employees who have no disabilities would be treated,d,The ADA requires that disabled employees be treated as other employees who have no disabilities would be treated
Property disclosures are required in many states and require sellers to make a written disclosure about the condition of the property for the benefit of the buyer.  The required disclosures may include,seller disclosure regarding property condition and material facts,disclosure of the seller’s financial status concerning the property,seller disclosure regarding whether pets are living or have lived in the home,seller disclosure as to the stigmatization of the property,a,The seller property condition disclosure is the seller’s written summary of the property’s condition at the time of the contract.  It must be completed by the seller and must be truthful
Which of the following items are required disclosures? ,Radon and lead-based paint,Mold and humidity levels,Water quality and septic system,Carbon monoxide and air quality,a,"Radon and lead base paint are both environmental issues are very serious and require a separate disclosure form as well as a pamphlet that is to , to the buyer"
The Lead-Based Paint Act requires a seller to disclose known lead problems in properties built before:,1992,1975,1980,1978,d,Lead-based paint can be found in most homes built before 1978
"According to the Lead-Based Paint Act, the buyer will be given ",a 10-day opportunity for lead-based paint testing,"a copy of the lead paint test report, which was performed by the seller",a 14-day extension to perform the lead paint testing,an affidavit by the seller that the property is lead-free,a,Homebuyers may have a lead-based paint risk assessment performed prior to purchasing the property. The seller is not required to test for lead but must allow the buyer a ten-day period for lead inspection
Which of the following statements describes the purpose of a home inspection?,To identify the areas that must be repaired by the seller,To give the buyers information about the property,To confirm that the seller disclosure statement is true and correct,To provide the seller with more information about the property before selling,b,The home inspection gives the buyer more detailed information about the overall condition of the home prior to purchase.  Home inspections should include looking for common environmental issues that can affect the property and the residents of the property
An agent who sees a “red flag” issue such as a potential structural or mechanical problem should do which of the following?,Avoid discussing any red flag issues with the buyer,Advise the seller to avoid disclosing it to the buyer,Advise the seller to purchase a home warranty for the buyer,Advise the seller to seek expert advice,d,"An agent who sees a “red flag” issue, such as a potential structural or mechanical problem should advise the seller to seek expert advice. Red flags can seriously impact the value of the property and/or the cost of remediation"
Which of the following has been linked to lung cancer?,Mold,Carbon monoxide,Urea formaldehyde,Radon,d,"Radon is an odorless, colorless, tasteless, and radioactive gas that is created in the ground where uranium and radium exist. Prolonged exposure to radon can cause lung cancer"
Which of the following disclosures are required if the property is part of a homeowner association?,The names and contact information of all residents,The rules and regulations,The building’s demographics,The building’s zoning certificate,b,"A typical HOA disclosure package includes: declarations, articles of incorporation, bylaws, articles of organization, operating agreements, rules and regulations, party wall agreements, minutes of annual owners’ meeting, minutes of directors’ or managers’ meetings, financial documents: balance sheet, income and expenditures, budget, reserve study, unpaid assessments, audit report, list of fees and charges, list of insurance policies, list of assessments by unit type"
The ethical practices that licensees must follow in serving the needs of consumers have emerged from three primary sources.  Which of the following is not one of the primary sources for real estate professionals?,Federal and state legislation,Industry self-regulation through trade associations and institutes,The Homeowners’ Association,State real estate licensing regulation,c,"The sources for real estate professionals include the following: federal and state legislation, state real estate licensing regulation, industry self-regulation through trade associations and institutes"
The primary focus of ethical behavior regulations does not generally include,anti-discrimination and fair-trade practices,agency and disclosure requirements,returning earnest money when requested,standards of conduct in every facet of the business,c,"The handling of earnest money is a legal issue, usually covered in state legislation"
"Under the Code of Ethics, a licensee’s duty to clients does not include",honestly representing market value and property condition,submitting all offers,maintaining confidentiality,reporting all phone calls made and received about the property,d,"Reporting all phone calls made and received about the property is not a requirement. Most codes of ethics uphold the commitment to fulfill fiduciary duties. Specific applications include: honestly representing market value and property condition, respecting rights and duties of other client-agent relationships, submitting all offers, avoiding commingling and conversion, keeping transaction documents current, maintaining confidentiality, managing client property competently"
A licensee’s duty to customers does not include,honestly representing market value and property condition,advertising truthfully,maintaining confidentiality,answering appropriate questions truthfully,c,"Licensees have a duty to keep confidential all information obtained from a client. Some of the guidelines for working with customers are: honestly representing market value and property condition, avoiding calling a service ""free"" that in fact is contingent on receiving a commission, advertising truthfully"
"In compliance with applicable laws and to promote respect for the real estate profession, licensees should be careful to disclose certain information to potential buyers and sellers.  Which of the following is not required to be disclosed?",the licensee will receive compensation from more than one party in the transaction,any interest the licensee has in a listed property,in what year they received their real estate license,any profits made on a client’s money,c,"This is usually public information that can be found on the state licensing board web site but is not a required disclosure. licensees should be careful to disclose: that the agent is going to receive compensation from more than one party in a transaction, property defects if they are reasonably apparent; however there is no duty to disclose a defect which it would require technical expertise to discover, any interest the agent has in a listed property if the agent is representing a party concerning the property, any profits made on a client's money, the agent's identity in advertisements, the agent’s representation of both parties in a transaction, the existence of accepted offers, identity of broker and firm in advertising as required by state law"
"The Civil Rights Act of 1866 always prohibits discrimination, without exception or exemption, to which of the following categories of protection?",National origin,Race,Age,Religion,b,"ALL discrimination in selling or renting residential property based on race is prohibited under the provisions of the Civil Rights Act of 1866.  Even though the federal fair housing laws exempt certain restrictions from discrimination status, It is NEVER ok to discriminate based on race"
Buyer Jessica wishes to purchase seller Ryan's house.  Jessica includes a handwritten note along with her full price offer saying how much she loves the property and how she can imagine living at the home for the rest of her life.  This personal note included with the offer is typically referred to as a,dowery offer.,special assessment letter.,counteroffer.,love letter.,d,"Buyers sometimes try to enhance the attractiveness of a purchase offer by attaching a personal note to the offer. This appeal to the seller, called a “love letter,” typically mentions such things as why the buyer particularly likes the home, how the buyer imagines family life in the home, and how well the buyer will care for the home."
"Real estate wholesaling is a method of profiting from a real estate transaction without actually buying any real estate. The wholesaler finds a willing seller, puts the property under contract, and finds a third-party buyer willing to buy at a higher price than what the wholesaler has agreed to pay the original seller. How are some states fighting the practice of real estate wholesaling?  ",By requiring the wholesaler to have a real estate license,By requiring any property to be fully owned by any particular owner for 30 days,By requiring any property to be fully owned by any particular owner for 60 days,"By banning wholesaling on transactions of $250,000 or more",a,Some states require the wholesaler in such transactions to hold a real estate license.
The fair housing law that first protected people against discrimination in housing based on race was the,Civil Rights Act of 1866,Civil Rights Act of 1968,Executive Order 11063 of 1962,Title VIII amendment to the Fair Housing Act,a,"The original fair housing statute, the Civil Rights Act of 1866, prohibits discrimination in housing based on race. The prohibition relates to selling, renting, inheriting, and conveying real estate"
The classes protected against discrimination by the Fair Housing Act of 1968 are,race only,religion and gender only,"race, color, religion, and national origin",age and gender only,c,"Title VIII of the Civil Rights Act of 1968, known today as the Fair Housing Act, prohibits discrimination in housing based on race, color, religion, or national origin"
"An agent tells a prospective buyer that a seller will not provide any assistance in financing, when, in fact, seller financing is available.  If the buyer belongs to one of the groups protected by fair housing laws, the agent may be guilty of which type of illegal discrimination?",Steering,Discriminatory misrepresentation,Redlining,Providing unequal services,b,"Discriminatory misrepresentation means an agent may not conceal available properties, represent that they are not for sale or rent, or change the sale terms for the purpose of discriminating"
Which of the following actions represents discriminatory advertising?,Telling prospective buyers about the positive and negative aspects of a certain neighborhood,Telling a prospective seller that now would be a good time to put a property on the market,Advertising a property as available to individuals of a particular race,Telling a prospective buyer that the agent is too busy to show the buyer properties personally on a given day,c,The prohibition against discriminatory advertising states that an agent may not advertise residential properties in such a way as to restrict their availability to any prospective buyer or tenant
Which of the following is an example of blockbusting?,An agent shows a minority home buyer properties located in a neighborhood where there are no other minority home owners,An agent persuades a minority home buyer to avoid looking in a neighborhood where there are no minority home owners,An agent persuades a family to put their house on the market because ethnic minority families are beginning to move into the neighborhood,An agent persuades a minority home buyer to buy a property located in an area where most of the home owners belong to minority groups,c,"Blockbusting, a prohibited activity, is the practice of inducing owners in an area to sell or rent to avoid an impending change in the ethnic or social makeup of the neighborhood that will cause values to go down"
What is the significance of the Jones v. Mayer Supreme Court decision?,It provides that anyone seeking to buy or rent a residential property who feels victimized by racial discrimination may take legal action under the 1866 Civil Rights Act,It allows for certain exemptions to the Title VIII prohibitions against discrimination provided there is no broker involved in the sale or lease transaction,It established that brokers and lenders must indicate their compliance with fair housing laws by displaying a standard HUD poster,"It added gender, age, and family status to the groups protected against discrimination in housing",a,"In 1968, the Supreme Court ruled in Jones v. Mayer that all discrimination in selling or renting residential property based on race is prohibited under the provisions of the Civil Rights Act of 1866. Thus, while the Federal Fair Housing Act exempts certain kinds of discrimination, anyone who feels victimized by discrimination based on race may seek legal recourse under the 1866 law"
"A home seller tells the listing agent that he will not consider any offers from minority buyers.  A cooperating broker wants to show the home to a minority buyer, but learns from the listing agent of the seller's instructions.  The cooperating broker then informs the buyer that he cannot show that home to him.  The buyer subsequently asks to be shown only houses that are in minority neighborhoods.  Which parties in this scenario are probably liable for violating fair housing laws? ",The seller only,The seller and the listing agent only,"The seller, the listing agent, and the cooperating broker",All four parties,c,"Fair housing laws apply to home sellers as well as to agents, with the exception of the exemptions. If an agent goes along with a client's discriminatory act, the agent is equally liable for violation of fair housing laws. It is thus imperative to avoid complicity with client discrimination. Further, an agent should withdraw from any relationship where client discrimination occurs"
The practice of redlining is specifically prohibited by ,The Home Mortgage Disclosure Act,The Real Estate Settlement Procedures Act,The Civil Rights Act of 1866,The Americans with Disabilities Act,a,"The Home Mortgage Disclosure Act requires lenders involved with federally guaranteed or insured loans to exercise impartiality and non-discrimination in the geographical distribution of their loan portfolio. In other words, the act is designed to prohibit redlining, the practice of restricting loans by geographical area"
Title VIII of the Civil Rights Act of 1968 applies to the sale of,all single-family residences,all privately owned single-family residences,privately owned single-family residences listed with a broker,"privately owned single-family residences ""for sale by owner.""",c,"Among the circumstances where the Fair Housing Act might allow for an exemption is: a privately owned single-family home where no broker is used, with certain additional conditions. In other words, as soon as a broker is used in the sale, the law applies"
"A broker signs a listing agreement to sell a home for $100,000.  An immigrant couple are interested in the house and ask the agent the price.  The agent states the price as $110,000.  According to the fair housing laws, such an action is","illegal, because the agent changed the terms of the sale to discourage this particular couple","illegal, because the agent violated the listing agreement","legal, because the quoted price increase did not exceed 10% of the listing price","legal, because the increased price does not necessarily exclude the couple",a,"The Fair Housing Act prohibition against discriminatory misrepresentation states that an agent may not conceal available properties, represent that they are not for sale or rent, or change the sale terms for the purpose of discriminating"
Which of the following actions is allowed under federal fair housing laws?,"A broker, following the instructions of the seller, advertises the property as for sale to Christian families only","A home seller, acting without a broker, places a ""for sale-- mature, single men only"" sign in front of the house","The owner of four rental houses advertises one of the properties for rent ""to married couples, no children, no pets.""",The owner of a duplex who resides in one of the units refuses to rent the other unit to a non-Christian,d,The Fair Housing Act would exempt the owner in this situation because it involves rental of an apartment in a 1-4 unit building where the owner is also an occupant and there is no discriminatory advertising
May Southfeldt believes a real estate agent has kept her from seeing a certain property for rent because she is a woman.  What actions should she take if she wants legal satisfaction for her complaint?,File charges of illegal discrimination with the police department that has jurisdiction over the local area,File a complaint with HUD and/or file suit against the offending parties in a state or federal court within the prescribed time period,Wait two years and then file a civil suit in federal court,File a civil suit in federal court to force HUD to enforce the Fair Housing Amendments Act of 1988,b,"The Fair Housing Amendments Act of 1988 prohibits discrimination based on sex. If May feels she has been discriminated against in this way, she may file a complaint with the Office of Fair Housing and Equal Opportunity (OFHEO) in HUD within one year or file suit in a federal or state court within two years of the alleged violation"
"John Dunbar hires Betty Jones to sell his house, with the condition that he will not be the first one in the neighborhood to sell to members of a certain ethnic group.  What should Betty do about this condition?",Inform Dunbar that the condition is illegal and that she cannot comply with it,Note the condition on the listing agreement and have Dunbar initial it,Pretend that she did not hear the condition and proceed to market the property to all groups,"Inform Dunbar that she will try to discourage members of that group from looking at the property, but that she cannot control cooperating brokers",a,"Fair housing laws apply to home sellers as well as to agents, with the exception of the exemptions. If an agent goes along with a client's discriminatory act, the agent is equally liable for violation of fair housing laws. It is thus imperative to avoid complicity with client discrimination. Further, an agent should withdraw from any relationship where client discrimination occurs"
"Under federal fair housing laws, the owner of a ten-unit apartment building may legally",advertise that the property is not available to anyone requiring wheelchair access,refuse to rent to aliens,require families without children to pay the same security deposit that families with children must pay,require tenants to move out when they become 62 years old,c,"Fair housing laws prohibit discriminatory advertising, discrimination on the basis of national origin, discrimination based on age in dwellings of more than four units, and discrimination against families with children. The fact that the owner is requiring the same deposit from tenants with and without children does not discriminate against families with children but actually favors them"
Under what conditions would federal fair housing laws allow a home owner to refuse to rent to a family because they have children?,The owner has a consistent no-children policy in all her rental properties,The owner can prove that costs to repair damage caused by previous tenants with children exceeded the tenants' security deposit,It is a single-family house that is part of a federally-designated planned unit development,"It is a single-family house, and the owner owns only one other rental home in addition to his own residence",d,Federal fair housing laws do not prohibit age and family status discrimination in residential dwellings of four units or less and in single family houses if sold or rented by owners who have no more than three houses
Which of the following is a material fact about property condition that must be disclosed to a property buyer? ,A registered violent offender lives in the neighborhood,The listing agent has a negative view of the property,The seller is a notorious felon,There is no homeowners’ association,b,"Material facts include:  the agent's opinion of the property's condition; adverse facts about property condition, title defects, environmental hazards, and property defects   "
A certain house for sale was built in 1997.  The seller and seller’s agent must be sure to disclose to buyers that,the house probably contains lead paint hazards,the house definitely contains urea formaldehyde insulation,the house was built in 1997,the house’s water supply is not protected by the Safe Drinking Water Act,c,The date a house was built is a material fact that must be disclosed if asked.  The rest are subjective and have to be proven before being shared with a buyer
What is the purpose of a home warranty?,Protect the lender against loss of collateral,Protect the homeowner against costs arising from major system failures,Provide funds to rebuild the home in case of natural disaster,Ensure the lender that the homeowner will make mortgage payments,b,"Home warranties, or home service contracts, cover service, repair, or replacement of a home's major systems and appliances"
"If there is cause to believe a property for sale has been contaminated in some way,  the transaction parties would be wise to ",have an environmental site assessment performed,begin Phase 4 remediation immediately,ask the local government for an environmental impact statement,contact the local health department,a,"An environmental site assessment (ESA) may be conducted to identify environmental impairments and protect parties against becoming involved in contamination issues. Such assessments are performed in three phases. A Phase 1 ESA identifies potential problems on or near the subject property. A Phase 2 ESA involves active testing of soil, water, and other components of the subject property"
"Of the following risk management strategies, the one that aims at minimizing both the severity and the likelihood of loss is",avoidance,reduction,transference,retention,b,"Reduction involves taking steps to reduce the probability or the severity of a potential loss. In real estate practice, one risk reduction tactic is to share responsibility for making a decision. The agent provides the consumer with expertise, and perhaps some advice, but lets the consumer decide how much to offer"
Insurance is a method of,risk elimination,risk mitigation,risk outsourcing,risk acceptance,c,"Transference (outsourcing, insuring) means passing the risk to another party, by contract or other means. An insurance policy is the common example, but sometimes the wording of a sales or personal services contract can transfer risk without resorting to insurance"
How does disclosure manage risk?,It deflects and reduces risk by preventing others from claiming they were misled,It eliminates the risk of committing an error,It accepts the risk of revealing confidential information,It transfers the risk of a code violation to the client,a,"By ensuring that all parties have the information they are entitled to, proper disclosure reduces the risk that clients and customers will accuse a licensee of misleading or inducing them to make a decision with incomplete information"
Which of the following statements about a company procedures manual as a risk management device is true?,It places all the responsibility for compliance on the broker,It relieves the licensee of responsibility for knowing and obeying the law,It can be a guide to compliance with the law,It adds to the risk of misleading the public,c,Adherence to a procedures manual reduces the risk that an individual will inadvertently commit an unlawful act
In what sense is the use of standardized forms a risk management procedure?,It eliminates the risk of being unable to draft a contract correctly,It reduces the risk of losing a client by having to make a referral to an attorney,It reduces the risk of committing an unauthorized practice of law,It eliminates the risk of wasting valuable time in creating custom forms,c,"Standard forms save time and protect against the unauthorized practice of law. Since they are most often prepared by lawyers familiar with the market area, they can address contingencies that are common in the area in a manner that reflects the real estate laws of the state"
"Keeping thorough records of every transaction is not only a risk management technique, it is",good for company morale,necessary for obtaining market share,a technique for discovering market trends,a legal requirement,d,State laws require licensees to document transactions. Firms are required to keep written records of all real estate transactions for a number of years (usually three to five) after closing or termination
Which of the following communication records must (as opposed to should) be kept?,Notes on every conversation,Copies of required communications to principals,Notes from company training sessions,Business cards of licensees one meets at open houses,b,"Some communications with transaction parties are good and necessary for business. Others are required by law, and records of them must be maintained for a statutory period. Required records typically include listing agreements, offers, contracts, closing statements, agency agreements, disclosure documents, correspondence and other communication records, notes and any other relevant information"
The standard E & O policy covers damages resulting from,failure to disclose an environmental condition,antitrust violations,mishandling of earnest money deposits,"negligence, error or omission in carrying out professional services",d,"A standard E&O policy provides coverage for “damages resulting from any negligent act, error or omission arising out of Professional Services.”"
Which of the following is a common risk relating to the agency relationship?,Failing to inform and disclose properly,Failing to take a personal interest in a transaction,Acting as an exclusive agent without an oral agency agreement,Forgetting to record the listing agreement,a,"Agency risks commonly concern the requirement to inform and disclose. Most states require agency relationships to be in writing and to be disclosed to all parties to a transaction. In states that do not use agency, there is still the obligation to explain and disclose the nature of the relationship"
"Even after giving buyer and seller the required information about property condition disclosures, the licensee may still be subject to legal action for",failing to detect customer misrepresentations,failing to disclose known adverse facts,relying on publicly available market information,advising the purchaser to exercise due diligence,b,"Depending on the state, the licensee may have no further duty to disclose property condition after properly informing parties of their rights and obligations. However, the licensee may still be subject to legal action for failing to disclose adverse facts the licensee knew about or should have known about"
"In performing a comparative market analysis, a licensee must be careful to","use the term ""market value"" whenever possible in the report",show a low suggested selling price to avoid a complaint of misrepresenting the value,include the results of a certified appraisal in the analysis,avoid creating a false impression that the licensee is a certified appraiser,d,"In preparing a Comparative Market Analysis, licensees should guard against using the terms “appraisal” and “value,” which are reserved for the use of certified appraisers. Misuse of these terms could lead to a charge of misrepresenting oneself as an appraiser. In discussing listed properties with clients or customers, real estate licensees should be careful to use guarded terms such as “recommended listing price,” “recommended purchase price,’ and “recommended listing price range.”"
"In fulfilling a listing agreement, one of the major risk areas is",finding a buyer who turns out to be unqualified,exceeding the authority of the agreement,showing the property without the presence of the owner,cooperating with other licensees,b,Licensees should stay within the bounds of the authority granted by the agency agreement or must not do anything requiring permission without first getting that permission in writing
A simple way of reducing the risk of committing an error or omission in the contracting process is,"use a checklist of all items, contingencies, dates and responsibilities that must be met",delegate some of your responsibilities to the licensee who represents the other party in the contract,call the buyer and seller daily to check on progress,cut the list of necessary tasks down to a few essentials and concentrate on tracking those,a,"One way to reduce risk in the contracting process is to use a checklist that covers all the contract items such as inclusions and exclusions, contingency periods, documents, forms, data checking, and milestone dates"
"Regarding contracts and forms,",once written and signed they cannot be changed except by a lawyer,real estate licensees may alter forms but not contracts,whoever originates them can make changes without the risk of unauthorized practice of law,the principals may make changes as long as they sign or initial each change,d,"Real estate professionals who are not attorneys are usually limited to filling in blanks or making deletions on a preprinted contract form prepared by a lawyer. While a licensee may make deletions, additions to a form should be drafted by an attorney. The principals themselves can make changes as long as each change is signed or initialed by all signers"
The best way to minimize the risk of violating fair housing laws is to,deal only with consumers who do not belong to a protected class,obtain education in the content and intent of the laws,make sure there is always a witness present at all meetings with consumers,stay away from transactions involving public housing,b,The risk of violating fair housing laws can be minimized through ongoing education that addresses both the content and the intent of the laws
A licensee risks violating antitrust law by,being present at a conversation where the setting of commission rates is discussed,being present at a discussion of antitrust laws,charging a commission rate that happens to be the same as that charged by another firm,cooperating with another firm to do market research,a,Antitrust laws forbid brokers to band together to set a price on their services in listing and selling property. Even being overheard discussing commission rates or being present at such a conversation can lead to charges of price fixing
How is an intentional misrepresentation penalized?,"License discipline, fines, and possible incarceration","License discipline and fines, but no incarceration",License discipline only,Fines only,a,"Intentional misrepresentation, as a type of fraud, is a criminal act that may result in fines and incarceration, in addition to discipline from state regulators and professional organizations"
All of the following are areas of risk for unintentional misrepresentation EXCEPT,measuring and reporting property dimensions,describing properties and amenities,stating that a client should seek legal counsel,making statements about the presence or absence of hazardous substances,c,Risky areas for unintentional misrepresentation include:  •making and reporting measurements  •describing property  •offering opinions about future growth and development of a neighborhood or neighboring property  •making declarative statements about the presence or absence of hazardous materials
"To reduce risks inherent in reporting transaction progress to a client, the licensee should","make reports orally only, never in writing",leave progress reporting to the inspectors and other experts,advise the client that it is company policy to make no progress reports until the contingency period is over,avoid statements of opinion and speculation in all reports,d,"Progress reports should be accurate, timely, in writing, and free of speculation. Speculation may encourage the consumer to believe the agent has expertise that in fact is non-existent. If a consumer has a question about the meaning of something in an inspection report, the licensee should refer the consumer to the person who wrote the report rather than trying to explain it"
How does sharing the qualifying function with a lender protect a licensee?,It guarantees that a buyer will have a loan,It reduces the chance of presenting an offer from an unqualified buyer,It relieves the licensee of his or her due diligence responsibilities,It allows the licensee to avoid asking embarrassing questions,b,"Using a lender to qualify the buyer protects the agent against leading a seller to believe a purchaser is fully qualified when this may not be the case. Also, lenders and loan agents are better able to look into the buyer’s qualifications than a real estate licensee is. If it is necessary to show a property to a potential buyer who has not been qualified by a lender, the licensee can gain some protection by performing an informal qualification and documenting the fact that it was based on the information provided by the buyer"
States have enacted real estate license laws to ,protect real estate licensees,ensure a minimal level of competency,protect the environment,police the real estate industry,b,States have enacted real estate license laws to ensure a minimal level of competence in real estate professionals.  This in turn will help to protect the public by requiring licensees to adhere to standards of ethical conduct and professionalism
