Question,A,B,C,D,Correct Answer,Feedback / Explanation
"A tenant's lease has expired, but the tenant has not vacated the premises or negotiated a renewal lease. The landlord has not given the tenant permission to remain in the building. This situation is an example of:",tenancy at sufferance.,an estate for years.,an estate from period to period.,tenancy at will.,A,"Tenancy (estate) at sufferance occurs when a tenant who lawfully possessed real property continues in possession of the premises without the landlord's consent after the lease rights expire, typically from an estate for years. An estate from period to period automatically renews unless notice is given. A tenancy at will permits a tenant to possess property with the landlord's consent for an unspecified term. An estate for years is a leasehold estate that continues for a definite period, whether that period is days, weeks, months, or years and has a definite expiration date."
The principal difference between an estate for years and an estate from period to period is that an,estate for years is a life estate.,estate from period to period has no expiration date.,estate for years cannot be terminated.,estate from period to period must be in writing.,B,"An estate from period to period, or periodic tenancy, does not have a specific expiration date, as it automatically renews until notice is given by the tenant or landlord. An estate (tenancy) for years has specific beginning and ending dates. Neither estate is a life estate. Each can be terminated. Both an estate for years and an estate from period to period must be in writing to be enforceable."
"Three friends were concurrent owners of a parcel of real estate. One of the friends died, and his interest passed according to his will to become part of his estate. The deceased friend was a",tenant by the entirety.,joint tenant.,severalty owner.,tenant in common.,D,"In a tenancy in common, the property of a deceased owner may pass to the heirs according to the will. If the deceased owner had been a joint tenant, the property would not have passed according to the will because in a joint tenancy the property interests would have transferred directly to the other two friends (co-tenants). The deceased owner was not a tenant by the entirety, a category reserved for married couples. Nor was the deceased owner a severalty owner because that form of ownership requires property to be held by only one person."
"A general contractor recently filed suit against a homeowner for nonpayment. The contractor now learns that the homeowner has listed the property for sale with a real estate broker. In this situation, which of the following will the contractor's attorney use to protect the contractor's interest?",Assessment,Lis pendens,Buyer's lien,Mortgage lien,B,"A recorded lis pendens (a notice of action pending) warns any potential purchaser that a property is subject to a pending legal action. This notice would prompt a buyer to consider very carefully whether to proceed, but it would not absolutely prevent it. The contractor may also have the right to use a mechanic's lien to obtain payment. The lis pendens would give notice until the mechanic's lien was in place. An assessment is a special levy for a definite purpose, such as adding curbs or sewers in a neighborhood. A mortgage lien is a voluntary specific lien the borrower signs."
"To create joint tenancy in the ownership of real estate, there must be unities of","title, interest, encumbrance, and survivorship.","ownership, possession, heirs, and title.","possession, interest, time, and title.","grantees, ownership, claim of right, and possession",C,"The equal interests of possession, interest, and title must all occur at the same time for joint tenancy to be created. REMEMBER: PITT for the unities of title in joint tenancy."
Which of the following is TRUE of condominium ownership?,The association pays the unit income taxes,The common elements cannot be sold separately,The association pays the unit real estate taxes,The ownership of a unit cannot be willed,B,"Although an individual unit owner owns an interest in the common elements as a tenant in common, they may not be sold separately by a unit owner; unit owners do not have the same right to partition that other tenants in common have. Individual owners pay the real estate taxes for their units. Condominium owners may will or mortgage their fee simple ownership in a condominium."
A purchaser of real estate learns that his ownership rights could continue forever and that no other person claims to be the owner or has any ownership control over the property. This person owns a,fee simple interest.,qualified fee estate.,life estate.,remainder interest.,A,"Fee simple is an absolute ownership, an inheritable interest ""with no strings attached."" A life estate is a non-inheritable freehold estate that ends with the death of the owner or the death of some other designated person. A remainder interest is tied to a life estate. A qualified fee estate exists as long as a determined use of the property continues."
A tenant who holds possession of a landlord's property without a definite lease term but with the consent of the landlord has a,tenancy at will.,tenancy at sufferance.,holdover tenancy.,tenancy in common.,A,An estate (tenancy) at will gives the tenant the right to possess property with the landlord's consent for an unspecified term. It continues until it is terminated by either party giving notice. A tenancy at sufferance arises when a tenant continues to possess the property without the landlord's consent after the tenant's rights expire. Tenancy in common is a form of co-ownership in which each owner holds an undivided interest in a property as if each were the sole owner. A holdover tenancy is created when a tenant with an estate for years holds on to a property after the lease term expires when no new lease has been signed.
A parcel of property was purchased by two friends. The deed they received from the seller at closing conveyed the property by name to each of the two friends without further explanation. The friends took title as which of the following?,Tenants in common,Community property owners,Tenants by the entirety,Joint tenants,A,"The answer is tenants in common. When joint tenancy is not clearly stated in the deed, grantees take title as tenants in common to avoid the results of accidental joint tenancy. Friends are unable to hold community property or be tenants by the entirety as those forms of ownership are available only for married couples."
A title search for a property under contract has revealed several outstanding liens against the property. Which of the following liens has highest priority?,A special assessment for the current year,A property tax lien for the current year,A judgment lien rendered and recorded last month,An outstanding first mortgage lien dated and recorded one year ago,B,"Tax liens have priority over previously recorded liens and over a special assessment, which will also take priority over previously recorded liens. The priority of the other liens will be based on the dates they were recorded. Liens recorded first will have a first right to payment or priority."
"When defining ownership estates, the term estate refers to:",a person's legal rights in the land or property.,residential properties over twenty-five acres.,only the possessionary rights of tenants and owners.,the quantity of land as shown on a plat map for a property.,A,"With respect to property ownership, the word estate refers to a person's legal use or the bundle of rights in land which, depending upon the type of estate, include the right to possess, transfer, encumber, et cetera. Estates are not tied to the physical quantity or the value of the land itself. A fee simple estate is the highest estate one can hold in land since it has the most or maximum rights to the land."
The type of real estate ownership that is MOST all-inclusive is a,qualified fee estate.,life estate.,reversionary interest.,fee simple absolute estate.,D,A fee simple absolute estate is the highest interest in real estate recognized by law. Fee simple ownership is absolute ownership in which the holder is entitled to all rights to the property. A life estate is a freehold estate that lasts as long as the life of the life tenant. A qualified fee estate is limited by specific conditions created by agreement or by law. A reversionary interest is that interest in property that exists when ownership of a life estate reverts back to the original owner at the end of the life estate.
Under which type of lien are both the real property and the personal property of the debtor sold to pay the debt?,Judgment lien,Mechanic's lien,Assessment lien,Real estate tax lien,A,"A judgment is a general, involuntary, equitable lien on both real and personal property owned by the debtor. A mechanic's lien is a specific lien against real property filed by a contractor, subcontractor, or supplier when an owner or contractor has not paid for work or supplies for improvements on a property. A real estate tax lien is a statutory lien against real property for nonpayment of taxes. An assessment lien is a special assessment levied on real property to fund public improvements to property."
"A married couple owns a farm together, with the right of survivorship. Their ownership is MOST likely",severalty ownership.,a tenancy by the entirety.,community property.,a tenancy in common.,B,"A married couple, in certain states, may use a special form of co-ownership called tenancy by the entirety. Each spouse has an equal, undivided interest in the property, with the right of survivorship. Severalty ownership occurs when real estate is owned by one person only. Tenancy in common and community property forms of ownership do not include the right of survivorship (in most states)."
An owner purchased an interest in a house in a resort beach community. The owner is entitled to the right of possession only between July 10 and August 4 of each year. Which type of ownership MOST likely has been purchased?,Condominium,Cooperative,Time-share,Trust,C,"The owner holds an interest in property for a stated time each year, sharing the property according to a specified time plan. The owner's interest is a time-share. The owner of a condominium or a cooperative has a right of possession for as long as the ownership is not transferred. An individual does not own property through a trust, as a trust holds title to the real estate."
A person who has complete control of a parcel of real estate is said to own a,fee simple estate.,defeasible fee estate,leasehold estate.,life estate.,A,"The highest interest in real estate recognized by law is the fee simple or fee simple absolute estate in which the holder is entitled to all rights of the property. In a fee simple estate, the property may pass to the owner's heirs upon the death of its owner. A tenant's right to possess a property for the term of a lease is called a leasehold estate. A life estate is an interest in real property that ends when the owner dies. A defeasible fee estate is a fee simple estate that can exist as long as a certain use continues or provided that the property is used for a specific purpose."
"A property owner conveys a life estate to her uncle and names her son as remainderman. On the death of the uncle, the son will have what type of estate?",Fee simple absolute estate,Qualified fee estate,Remainder estate,Reversionary estate,A,"The son holds a remainder interest in the property, and will have a fee simple absolute estate upon the death of the uncle, the life tenant."
The difference between a freehold and leasehold estate is,ownership versus possession.,the right of survivorship for the tenant.,ownership versus the right to purchase.,who is obligated to pay the property expenses.,A,Freehold estates are estates of ownership while in a leasehold estate the property owner gives the tenant possession of the property. Tenants may agree to pay all the property expenses or share them with the owner or the owner can pay them all. The right to purchase is not a requirement for leasehold and there is no right of survivorship.
Which of the following would be classified as a general lien?,Mechanic's lien,Judgment,Real estate property tax lien,Property tax lien,B,A judgment lien is not a lien just on specific assets but on the assets of the debtor in general. A judgment applies to both the personal and real property of the debtor. Property tax liens are specific liens that have priority over other liens. A mechanic's lien may be filed against real property by a contractor or supplier for nonpayment of work or supplies. A property tax lien may be filed by a government for the nonpayment of real estate property taxes.
A property owner contracted to have a swimming pool installed... This lien was MOST likely a:,mechanic's lien.,general lien.,judgement lien.,voluntary lien.,A,"A mechanic's lien may be filed by a contractor when an owner refuses to pay... It is a specific, involuntary lien."
"When one property is owned in severalty, the:",property may be owned by more than one person.,"property owner may sell, will, or lease...",owner cannot be a corporation.,property may be co-owned by spouses.,B,Property owned in severalty is owned by one person... Owner may be an individual or corporation.
A landowner divided much of her land... What type of easement will be granted?,Easement by necessity,Easement by prescription,Easement in gross,Conditional use permit,A,Easement by necessity arises when there is no access without crossing anothers land.
Legal descriptions are used in purchase contracts... EXCEPT:,description using compass degrees,property address with full zip code,lot and block number,"section, township, and range",B,"Addresses can change and are not legal descriptions. Lots, metes/bounds, and govt survey are valid."
Property owned by three cousins as tenants in common. One dies intestate (with heirs). Interest passes to:,The deceased cousin's heirs,The other two cousins in joint tenancy,The other two cousins equally,The state (escheat),A,Interest passes to deceased owner's heirs under intestate succession. Not to other co-owners.
The priority of liens refers to:,Specific liens > general liens,Order liens are paid if property sold,Dates liens recorded,Order debtor assumes obligations,B,"Priority of liens = order in which claims are paid. General rule: first to record, first in right."
Which of the following is a lien on real estate?,Restrictive covenant,Recorded mortgage,Encroachment,Easement,B,"A recorded mortgage is a voluntary, specific lien. Easements/covenants/encroachments are encumbrances."
Fixtures EXCEPT:,rose bushes & grape vines,wall ovens & farm sink,stand-alone microwave,built-in refrigerator,C,"Fixtures determined by attachment, adaptation, agreement. A plug-in microwave is personal property."
"Normally, priority of general liens is determined by:",Order filed/recorded,Court,Size of claim,Order cause arose,A,"Priority rule = first recorded, first in right. Property taxes/special assessments always come first."
Personal property includes EXCEPT:,custom built-in bookcase,chair/sofa,emblements,trade fixtures,A,"Built-in bookcase = real property. Chairs, emblements, trade fixtures = personal property."
Wooded area with trails between cotton mills and housing =,utility easement,nonconforming use,variance,buffer zone,D,Buffer zones separate residential from nonresidential zones.
"7-story building, zoning later changed to max 6 stories. TRUE?",Conditional use permit,Variance,Must be demolished,Nonconforming use,D,Existing building becomes legal nonconforming use.
Purpose of building code is to:,Enforce zoning,Ensure safety,Ensure deed covenant compliance,Municipal control on construction volume,B,Building codes ensure structural safety.
"Sign restriction: max 3ft, owner wants 9ft revolving sign. To do legally:",Nonconforming use permit,Deed to air rights,Variance,Special use permit,C,Variance allows prohibited use.
Govt powers EXCEPT:,Set land use policy,Take land for public use,Set private subdivision controls,Ensure community welfare,C,"Private subdivision controls = deed restrictions, not government powers."
Zoning ordinances define land uses EXCEPT:,Commercial,Rental,Industrial,Residential,B,"Rental = ownership type, not land use classification."
"To determine if location can be retail store, examine:",Nonconforming uses list,Building code,Zoning ordinances,Housing code,C,Zoning ordinances regulate permitted property uses.
Developer must consider what when planning subdivision?,Customs of area,Ideal development,Most profitable buildings,Master plan,D,"Master plan governs land use, utilities, housing, etc."
Eminent domain requires:,Public purpose,Constructive notice,Statutory dedication,Adverse possession,A,Government must take for public use/purpose.
Lien with highest foreclosure priority?,Mechanic's lien,Judgment lien,Mortgage,Property taxes,D,Property taxes/special assessments always first.
Which tax targets homeowners in particular?,Luxury tax,Sales tax,Personal property tax,Real property tax,D,Real property tax is specific to homeowners.
Buyers agent should confirm which doc in new subdivision?,Certificate of occupancy,Building permit,Code certificate,Certificate of compliance,A,Certificate of occupancy ensures new construction meets code.
Grocery store in rezoned area (now residential) is:,Variance,Violation,Nonconforming use,Illegal enterprise,C,"Store existed prior, so its legal nonconforming use."
Municipality establishes development goals in:,Environmental regs,Master plan,Restrictive covenants,Building codes,B,Master plan = comprehensive planning.
Which is a property improvement?,Land passed percolation test,Tree chopped down,Chicken coop attached to land,Increase in property value,C,"Improvements = physical structures like coop, fence, well."
"""Bundle of rights"" refers to rights:",Specified in deed,Enjoyed by owner,Guaranteed by Statute of Rights,Synonymous with Bill of Rights,B,"Bundle of rights = possess, use, transfer, encumber, exclude."
System of land ownership in U.S. =,Allodial,Feudal,Inchoate,Incorporeal,A,Allodial = absolute ownership by individuals.
Rights of owner along riverbank are:,Littoral,Riparian,Prior appropriation,Hereditament,B,Riparian rights = rivers/streams. Littoral = lakes/oceans.
Deed says "subject to an easement." Burdened land is:,Appurtenant,Liability,Restricted,Encumbered,D,Subject to = encumbered (burdened).
Mechanics lien is classified as:,Statutory lien,General lien,Equitable lien,Voluntary lien,A,Mechanics lien = statutory lien (created by law).
A non-possessory interest in real property is also called:,a servient tenement.,an encumbrance.,a leasehold estate.,a license.,B,"A claim against, limitation on or liability against real estate is called an encumbrance. Encumbrances include liens, deed restrictions, easements, encroachments, and licenses. An encumbrance gives some other entity a non-possessory interest in a property and can restrict the owner's ability to transfer title to the property or lessen its value."
"A condominium community offers a swimming pool, tennis courts, and a biking trail. These facilities are MOST likely owned by the:","unit owners, in the form of proportional divided interests.","unit owners, in the form of percentage undivided interests.",corporation in which the unit owners hold stock.,condominium board.,B,A condominium is a living space independently sellable and regarded as real estate. Common elements like recreational facilities are owned by all the unit owners as a percentage of undivided interests.
A construction lien is best described as:,a general lien.,an open encumbrance.,a specific lien.,a voluntary lien.,C,"A construction lien, also known as a mechanics lien, is a claim made against a property by a contractor or other professional who has supplied labor or materials. They are considered a specific lien."
A deed conveys ownership to the grantee as long as the existing building is not torn down. What type of estate does this deed create?,"Life estate pur autre vie, with the measuring life being that of the building",Determinable fee estate,Fee simple absolute estate,Nondestructible estate,B,"A determinable estate (defeasible) is created when a grantor transfers land conditionally. Upon the happening of the event or condition, the transfer may be void or subject to annulment."
The ownership in a condominium is an estate in real property consisting of an undivided interest in common and a separate ownership of space. The estate in the defined space is:,A fee simple estate with a proprietary lease.,An estate for life.,An estate for years.,A fee simple estate.,D,"A fee simple (absolute) is the highest possible ownership interest in real property, and it applies to individual condo units."
The maximum estate that a person may hold in land may be referred to as a(n):,life estate.,fee simple estate.,estate in severalty.,estate for years.,B,Fee simple absolute is the highest form of land ownership possible.
Which of the following individuals holds a license and is therefore not entitled to a claim of adverse possession?,"a person who has been entering an orchard with permission, and taking apples every year for 30 years.",a person who has been in possession of the property for 19 years.,a person who has been parking his car on a neighbor's property for 20 years without permission.,"a person who held property for five years after inheriting it from a parent, who was in adverse possession for ten years.",A,"A license is a personal right that may be revoked at any time. Entering the orchard to pick apples, with permission, is a license."
A man conveys a life estate to his sister. The property will pass to his niece upon his sisters death. Which BEST describes the nieces interest during the sisters lifetime?,Life estate pur autre vie,Redemption,Reversion,Remainder,D,The remainder is the future interest conveyed to the remainderman in the deed.
"When a company furnishes materials for construction and is not paid, it may file a(n):",mechanic's lien.,lis pendens.,estoppel certificate.,deficiency judgment.,A,A mechanic's lien is used by contractors/suppliers to recover unpaid labor or materials.
"An unmarried couple owns real estate. Man owns 1/3, woman owns 2/3. The form of ownership is:",tenancy at will.,joint tenancy.,severalty.,tenancy in common.,D,"A tenancy in common is a shared tenancy where each holder has a distinct, separately transferable interest."
An ownership interest that permits multiple purchasers to buy interests in the same real estate is a:,condominium.,cooperative.,leasehold.,time-share.,D,A timeshare divides ownership or use rights into time periods.
Zoning ordinances may regulate:,deed restrictions.,restrictive covenants.,density.,water usage.,C,"Zoning ordinances regulate use, lot size, placement, height, and density."
A person with complete control over a parcel of real estate owns a:,defeasible fee estate.,leasehold estate.,fee simple estate.,life estate.,C,"Fee simple provides the most control over real estate, while other estates have conditions or time limits."
Neighbors use your driveway via an easement appurtenant. Your property is the:,license property.,dominant tenement.,servient tenement.,leasehold interest.,C,The servient tenement is the property burdened by the easement.
An easement appurtenant is best described as:,right to use anothers property at any time for whatever reason.,may be terminated at any time by the holder.,decreases property value.,belongs to the land and follows title.,D,An appurtenant easement runs with the land and applies regardless of ownership changes.
An owner with a permanent right to cross over adjoining land has:,an easement.,a riparian right.,a license.,a party wall.,A,An easement gives a property owner rights over anothers property for a purpose.
An easement is:,a lien.,"an encumbrance, but not a lien.",both a lien and an encumbrance.,an estate in land.,B,"Easements are encumbrances, but not liens."
Permission to use property by giving an easement creates:,a license.,lien.,a prescription.,an encumbrance.,D,Easements are encumbrances that affect property rights.
Condemnation of private property for public use is under:,escheat,manifest destiny,taxation,eminent domain,D,Eminent domain allows governments to take private property for public good with compensation.
"Oscar, Andrew & Douglas are joint tenants. Douglas conveys to Joe. Afterward, Oscar & Andrew:",become tenants in common.,remain joint tenants owning 2/3.,continue as joint tenants with Douglas.,become joint tenants with Joe.,B,Douglass conveyance breaks joint tenancy for his share. Joe becomes tenant in common. Oscar & Andrew remain joint tenants of 2/3.
Personal property includes all EXCEPT:,fixtures.,emblements.,fructus industriales.,chattels.,A,"Fixtures are attached and considered real property, not personal property."
The process under eminent domain by which property is taken is:,judgment.,abstract of judgment.,lis pendens.,condemnation.,D,Condemnation is the process governments use to exercise eminent domain.
"If dominant & servient tenements merge under one owner, what happens?",Retain former status,Easement becomes dormant,Easement is terminated,Easement unaffected,C,You cannot hold an easement over your own property; the easement ends.
The state wants farmland for a highway. Does it have the right?,"No, never",Yes; called eminent domain,Yes; called condemnation,Yes; called escheat,B,Eminent domain is the right; condemnation is the process.
The right of eminent domain refers to:,orgs right to condemn property for community,governments right to acquire property for public use,individual acquiring land by grant,every citizens right to own property,B,Eminent domain is the governments right to acquire property for public use.
Stephen leased for six months and stayed without consent after. He now holds an:,estate at sufferance.,estate for years.,estate from period to period.,estate at will.,A,Estate at sufferance = holding over after lease expiration without landlord consent.
Which is personal property?,Built-in dishwasher,Installed bathtubs,Harvested crops,Trees,C,Harvested crops are movable and considered personal property.
Susan lets Oscar store a camper in her yard temporarily without rent. This is a:,Easement by necessity,Easement appurtenant,Estate in land,License,D,Permission for temporary use is a license.
"If a condo owner defaults on a mortgage, the remaining owners:",must file injunction,become subject to foreclosure,must sue to quiet title,are not affected,D,"Default affects only the unit owner, not others."
The sudden removal of land when a stream changes its channel is:,breach.,avulsion.,accretion.,adverse possession.,B,Avulsion = sudden change; accretion = gradual.
Which of these is TRUE concerning a property held in joint tenancy?,A maximum of two people can own the real estate,There is always the right of survivorship,The fractional interests of the owners can be different,Additional owners may be added later,B,"Joint Tenancy is a type of concurrent estate in which co-owners have a right of survivorship, meaning that if one owner dies, that owner's interest in the property will pass to the surviving owner or owners by operation of law."
Under which of the following types of liens can both the real property and the personal property of the debtor be sold to pay the debt?,Real estate tax lien,Assessment lien,Judgment lien,Mechanic's lien,C,"Most liens are against a specific property. A judgment lien, however, is a decision directed by the courts and can apply to whatever assets of the defendant's that it deems appropriate."
"Under the terms of a net lease, a commercial tenant usually would be responsible for paying:",income tax payments.,mortgage interest expense.,real estate taxes.,principal debt service.,C,"A net lease requires the tenant to pay taxes, insurance, and maintenance costs in addition to rent. Common in commercial real estate."
A partition suit is used for which of the following?,To allow construction of party walls,To force a division of property without all the owners consents,Determination of party fences,To change a tenancy by entireties to some other form of ownership,B,Partition suits are pursued when a co-owner wants to sell their share and others are opposed. Courts may order division or sale.
Real property includes which of the following?,"Appurtenances, rights that belong to the land, and all personal property.","Appurtenances, rights that belong to the land, and harvested crops.","Appurtenances, rights belonging to the land, and trade fixtures.","Appurtenances, rights that belong to the land, and attached personal property.",D,"Real estate consists of land, buildings, natural resources, and appurtenances. Attached personal property (fixtures) becomes real property."
"Stephen leases store space to Rose for a restaurant, and Rose installs ovens, booths, counters, and equipment. When do these items become real property?",When the lease takes effect,"When the lease expires, if the items are not taken by the tenant",When Rose defaults on rental payments,When they are installed,B,"Trade fixtures remain tenants property but if left behind at lease end, they become part of the real property."
"A tenants lease has expired, but the tenant has not vacated or renewed. The landlord has not given permission to stay. This is an example of:",an estate from year to year.,tenancy at will.,an estate for years.,tenancy at sufferance.,D,Tenancy at sufferance occurs when a tenant stays beyond lease expiration without landlord consent.
The form of tenancy that expires on a specific date is a:,tenancy by the entirety.,tenancy in common.,tenancy for years.,joint tenancy.,C,"A tenancy for years is for a fixed period, with automatic termination on the end date."
"If four persons hold title as tenants in common, they:",would be unable to determine which portion of the land is theirs.,would have the right of survivorship.,must each own a one quarter interest.,could not transfer their interest without consent of the others.,A,Tenants in common share undivided interest in the entire property. They cannot claim specific physical portions.
An owners bundle of rights is best described as:,Right to build to any height,"Right of ownership including air rights, subjacent support, mineral rights",None of the other answers,Right to build under old zoning laws,B,"Bundle of rights includes possession, control, exclusion, enjoyment, disposition plus air rights, subsurface rights, and support."
Which of the following is/are considered personal property?,Furnace,Bathtub,Patio furniture,Wood-burning fireplace,C,"Fixtures (furnace, tub, fireplace) stay with property. Patio furniture is movable, so its personal property."
"After a mechanic has filed a lien, he may enforce it by:",turning the debt over to collections.,"doing nothing, filing is enough.",repossessing material/structure.,filing a lawsuit within a specified time frame.,D,Mechanics liens must be enforced by lawsuit within state deadlines.
Susans neighbors use her driveway under an easement appurtenant. Susans property is the:,prescriptive tenement.,appurtenant tenement.,dominant tenement.,servient tenement.,D,The property burdened by an easement is the servient tenement.
A portion of Joe's building was inadvertently built on Ginny's land. This is called an:,encroachment.,avulsion.,accretion.,easement.,A,Encroachment = unauthorized intrusion of a structure onto anothers land.
The word "improvement" refers to all of the following EXCEPT:,streets.,a sanitary sewer system.,trade fixtures.,the foundation.,C,"Trade fixtures are tenants removable items, not permanent improvements."
"Of the following, which could be a lease on real property?",a property lien.,an estate at sufferance.,an estate for years.,a life estate.,C,Estate for years = leasehold for a fixed term.
"To create a joint tenancy, there must be unities of:","ownership, possession, heirs, and title.","grantees, ownership, claim of right, possession.","possession, time, interest, and title.","title, interest, encumbrance, and survivorship.",C,"Joint tenancy requires the four unities: possession, time, interest, and title."
"Seddons store was legal for 30 years, but new zoning prohibits food sales. The store is now:",violation of eminent domain,illegal enterprise,variance,non-conforming use,D,Non-conforming use = grandfathered when zoning changes.
"Condo owner and apartment lessee differ, but legally both hold:",a fee interest.,an estate in real property.,a less-than-freehold interest.,an estate of inheritance.,B,Both owners and lessees hold estates in real property (freehold vs. leasehold).
Vivian erects a fence. Materials are converted to real estate by method of:,subrogation.,severance.,adaptation.,attachment.,D,"Fixtures are created through attachment (MARIA test: Method, Adaptability, Relationship, Intention, Agreement)."
Which of the following best describes the concept of "legal title" to real estate?",Ownership of the bundle of rights to real estate,The right of a buyer or lender to obtain ownership under certain circumstances,Possession of a deed,Absolute proof of ownership of real estate,a,"Owning title to real property commonly connotes owning the complete bundle of rights that attach to the property, including the right to possession. More accurately, someone who possesses all ownership interests owns legal title to the property. Legal title is distinct from equitable title, which is the interest or right to obtain legal title to a property in accordance with a sale or mortgage contract between the legal owner and a buyer or creditor. During the contractual period of time when ownership of legal title is contingent upon the contract, the buyer or lender owns equitable title to the property"
"A person claims ownership of a parcel of real estate to a prospective buyer, stating that she has lived on the property for five years and nobody has ever bothered her. The claimant also shows the buyer a copy of the deed. The legal basis of this claim is referred to as",prescriptive notice,constructive notice,hostile notice,actual notice,d,"In proving real estate ownership, a person provides actual notice by producing direct evidence, such as by showing a valid will"
Constructive notice of ownership of a parcel of real estate is primarily demonstrated through,direct inspection to see who is in possession,title insurance,title records,a construction permit,c,"The foremost method of imparting constructive notice is by recordation of ownership documents in public records, specifically, title records"
An owner transfers title to a property to a buyer in exchange for a consideration. This is an example of,voluntary alienation,escheat,hypothecation,estoppel,a,Voluntary alienation is an unforced transfer of title by sale or gift from an owner to another party
"For a deed to convey title, it is necessary for the deed to be",on a standard form,certified by the grantor,accepted by the grantee,signed by the grantee,c,Execution of a valid deed in itself does not convey title. It is necessary for the deed to be delivered to and accepted by the grantee for title to pass
The only required clause in a deed of conveyance is one that,states restrictions and limitations to the estate being conveyed,states the parties and the type of estate being conveyed,states that the grantor has done nothing to impair title to the property being conveyed,"states the grantor's intention, names the parties, describes the property, and indicates a consideration",d,"Granting clause, or premises clause - the only required clause; contains the conveyance intentions; names the parties; describes the property; indicates nominal consideration"
The purpose of a covenant clause in a deed of conveyance is to,state the grantor's assurance or warrant to the grantee that a certain condition or fact concerning the property is true,state the grantee's promise to use the property in a prescribed manner,warrant that the grantor has never encumbered title,describe the consideration that the grantee promises to give in return for title,a,Covenant clauses present the grantor's assurances to the grantee
The type of statutory deed that contains the most complete protection for the grantee is a,guardian's deed,special warranty deed,general warranty deed,quitclaim deed,c,"The general warranty deed, or warranty deed for short, is the most commonly used deed. It contains the fullest possible assurances of good title and protection for the grantee"
"A person wishes to convey any and all interests in a property to another without making any assurances as to encumbrances, liens, or any other title defects on the property. This party would most likely use which of the following types of deed?",A sheriff's deed,A special warranty deed,A partition deed,A quitclaim deed,d,"A quitclaim deed. A quitclaim deed transfers real and potential interests in a property, whether an interest is known to exist or not.  The grantor makes no claim to any interest in the property being conveyed and offers no warrants to protect the grantee"
A one-time tax levied on a property for purposes of recording a transaction is called,an intangible sales tax,a documentary stamp tax,an ad valorem tax,a franchise tax,b,State law usually requires payment of a documentary stamp tax on a conveyance of real property
"If a person dies with no legal heirs or relations and has left no valid will, what happens to real property owned by that person?",It is taken by the state according to the process called escheat,It is reconveyed to the previous owner in the chain of title,It is taken by the title insurance company according to the process called involuntary alienation,It is conveyed to the highest bidder at a public auction,a,"It is taken by the state according to the process called escheat, or reverts, to the state or county after all claims and debts have been validated and settled"
"Just prior to passing away, a person tells two witnesses that she would like her estate to pass to her husband. One witness records the statement and signs his name. This is an example of",an enforceable holographic will,an unenforceable holographic will,an enforceable nuncupative will,an unenforceable nuncupative will,d,"An unenforceable nuncupative will, made orally, and written down by a witness; generally not valid for the transfer of real property"
"If a person having several heirs dies intestate, the property will",pass to heirs by the laws of descent and distribution,escheat to the state,pass to the surviving spouse through elective share,pass to the surviving heirs according to the provisions of the will,a,"If the decedent died without a valid will, the estate passes to lawful heirs according to the state's laws of descent and distribution, or succession"
A property owner can avert the danger of losing title by adverse possession by,recording proof of ownership in county title records,inspecting the property and evicting any trespassers found,claiming hostile and notorious possession,filing a claim of right with the county recorder,b,"An owner can avert the danger of involuntary alienation by adverse possession by periodically inspecting the property within statutory deadlines and evicting any trespassers found. The owner may also sue to quiet title, which would eliminate the threat of the adverse possessor's claim to legal title"
"A hermit secretly lives in a cave on a 200-acre property. After twenty years, the person makes a claim of ownership to the property. This claim will likely be",upheld through adverse possession,upheld because of the length of possession,declined through the doctrine of prior appropriation,declined because possession was secretive,d,"State laws may allow a real property owner to lose legal title to an adverse possessor. An adverse possessor is someone who enters, occupies, and uses another's property without the knowledge or consent of the owner, or with the knowledge of an owner who fails to take any action over a statutory period of time. To claim legal title, the adverse possessor must have notorious possession, which is possession without concealment"
The fundamental purpose of recording instruments that affect real property is to,prove ownership of the property,avoid adverse possession,give constructive notice of one's rights and interests in the property,assemble all relevant documents in a single place,c,"State laws require the recording of all documents that affect rights and interests in real estate in the public real estate records of the county where the property is located. These public records, or title records, contain a history of every parcel of real estate in the county, including names of previous owners, liens, easements, and other encumbrances that have been recorded. Title records protect the public by giving all concerned parties constructive notice of the condition of a property's legal title: who owns the property, who maintains claims and encumbrances against the property"
What is "chain of title?",The list of all parties who have ever owned real estate,The bundle of rights linked to the recorded title to a parcel,A chronology of successive owners of record of a parcel of real estate,Involuntary conveyance of title by statutory rules of descent,c,Chain of title refers to the succession of owners of record dating back to the original grant of title from the state to a private party. It is thus more than a mere list; it is a chronological list as reflected in title records
The Torrens System differs from other title recording systems in that,title is conveyed only when conveyance is registered on the title certificate,the Torrens System requires prior approval of a transaction before it can be registered,the Torrens System is not recognized by title insurance companies,it allows unrecorded encumbrances to cloud title,a,The Torrens system differs from other title recording systems in that title passes only when the conveyance has been duly registered on the title certificate itself
"To be marketable, title must be",registered in Torrens,free of undisclosed defects and encumbrances,abstracted by an attorney,guaranteed by a title certificate,b,"Marketable title is, by definition, one that is free and clear of undesirable and unknown encumbrances, claims, clouds, or other defects. Attorney's abstracts and title certificates do not guarantee that a title is marketable"
"With the exception of a Torrens certificate, the best evidence of marketable title is",a signed deed,a title certificate,title insurance,an attorney's opinion,c,A title insurance policy is commonly accepted as the best evidence of marketable title. A title insurance policy indemnifies the policy holder against losses arising from defects in the insured title
