Question,A,B,C,D,Correct Answer,Feedback / Explanation
Roberto owns an apartment building and wants to exchange his property in a 1031 tax deferred exchange in order to defer paying taxes in the year of the exchange. He could exchange his apartment building for:,a personal residence with an existing,,,,,
Which of the following is required for a valid deed?,Acknowledgement,Legal property description,Eviction on any day of the week except on Sundays,Use of the phrase to have and to hold,B,"Property deeds are used to convey real property from a grantor (seller) to a grantee (buyer). For a deed to be legally operative, several essentials must exist including the identification of the grantor and grantee, and an adequate legal description of the property."
The unadjusted basis of a taxpayer's residence would be its:,cost.,cost minus improvements.,cost plus improvements.,"cost plus improvements, minus depreciation.",A,"For federal income tax purposes in determining gain or loss on real property, the term ""unadjusted basis"" most nearly means ""original cost"". NOTE - This question asks about ""unadjusted basis"", not ""adjusted basis"". Sometimes you may also see unadjusted basis simply referred to as ""basis"""
Which of the following is treated as a credit on the seller's closing statement?,none of the other options are correct,prepaid taxes,prepaid premiums,prepaid rents of tenants,B,"If a seller has already paid for a period of property tax that must be reimbursed by the buyer, it is a credit on the seller's closing statement. Prepaid premiums, such as insurance premiums paid in advance by the seller, are not typically treated as a credit on the seller's closing statement because these payments are specific to the seller’s policy and coverage period. When a property is sold, the buyer will usually obtain their own insurance policy effective as of the closing date. Therefore, any prepaid insurance premiums would not be credited to the seller in the transaction. Prepaid rents from tenants are actually credited to the buyer, not the seller, on a closing statement. If tenants have paid rent in advance for a period that extends past the closing date, the buyer is entitled to this rent, as they will be the property owner during that time."
An installment sale represents a tax advantage because:,it eliminates taxes all together.,it defers payment of capital gains.,it reduces tax rates.,it is a tax exemption.,B,"An installment sale allows the taxpayer to postpone the receipt and reporting of income tax to future years when his/her other income may be lower. Thus, the seller of a parcel of land in a land installment contract can avoid paying the entire tax on the gain in the year of sale."
Boot refers to:,business sales.,foreclosure.,1031 exchanges.,leases.,C,"The term ""boot"" is not used in the Internal Revenue Code or the Regulations, but is commonly used in discussing the tax consequences of a Section 1031 tax-deferred exchange. For example, if a property worth $150,000 is exchanged for a property worth $145,000 plus $5000 cash, the cash is considered the boot. Receipt of boot doesn't disqualify an exchange, but it may result in a taxable gain."
Personal income taxes are structured using rates that are:,regressive.,equal.,level.,progressive.,D,"Progressive means the more you make, the more you pay. It might also be termed ""graduated."""
The selling price on a buyer's closing statement is treated as:,a credit to the buyer.,a debit to the buyer.,None of the other options are correct,a debit to the seller.,B,"A closing statement is a detailed cash accounting of a real estate transaction prepared by a broker, escrow officer, attorney or other persons designated to process the mechanics of the sales, showing all cash received, all charges and credits made and all cash paid out in the transaction. Selling price on the buyer's closing statement is treated as a debit to the buyer."
"To determine property taxes on a residence, an assessor will:","total all land and improvements and assess them together, then multiply each by the different tax rates for land and improvements.","assess land and improvements separately, then multiply the total by one tax rate.","total all land and improvements and assess them together, then multiply by one tax rate.","assess land and improvements separately, then multiply each by the different tax rates for land and improvements.",B,"Land and improvements are assessed separately, then added together and multiplied by one tax rate."
"Under the federal Lead-Based Paint Hazard Reduction Act, which statement is TRUE?",All residential housing built prior to 1978 must be tested for the presence of lead-based paint before being listed for sale or rent.,A lead hazard pamphlet must be distributed to all prospective buyers but not to tenants.,Purchasers of housing built before 1978 must be given five days to test the property for the presence of lead-based paint.,A disclosure statement must be included with all sales contracts and leases involving residential properties built prior to 1978.,D,"Although no remediation of the property is required, a lead-based paint warning disclosure statement must be completed and signed by the parties and a copy included with any sales contract or lease for a residential property built before 1978. In the disclosure statement, buyers and renters acknowledge receiving a HUD booklet about protecting their families from lead-based paint hazards. The pamphlet ""Protect Your Family From Lead in the Home"" must be provided to lessees as well as to buyers. The length of time given the buyer to inspect the property is listed in the lead-based paint disclosure provided by the seller."
All of the following are examples of private controls of real property EXCEPT:,certificates of occupancy.,a requirement to make monthly payments to maintain common elements within the complex.,a condition stating the property may not be used to sell alcohol.,criteria that establish the color of house paint that can be used.,A,"Certificates of occupancy are public control created by zoning laws. Deed conditions, Owner association or cooperative fees and covenants on paint color are all private controls."
An example of involuntary alienation of property is,gifting.,inheritance.,quitclaim.,condemnation.,D,Condemnation is the operation of a government to take private property for public use and is an involuntary transfer of the property. Property inherited or given as a gift transfers voluntarily. A quitclaim deed voluntarily transfers the interest a grantor may have in a property to a grantee with no covenants or warranties.
General real estate property taxes levied for the operation of the government are called:,improvement taxes.,ad valorem taxes.,special assessment taxes.,special taxes.,B,"The general real estate property taxes, the ""ad valorem"" tax, creates a specific lien on a particular property. The word ""general"" in this question denotes that this tax is different from a special assessment tax (which is levied on real estate to fund a public improvement that also benefits the property being taxed). Ad Valorem means ""according to value"", and an ad valorem tax is a tax based on the assessed value of an item. The most common ad valorem taxes are property taxes levied on real estate."
"The construction of a family room, additional bedroom, and extra bath has been completed on the owner's home. Before the addition can be used, which of the following is TRUE?",The bath must be inspected by the plumbing inspector.,A certificate of occupancy must be issued.,The municipality must issue a building permit.,The municipality must issue a conditional-use permit.,B,"A certificate of occupancy grants permission to occupy a completed building structure after it has been inspected. A building inspector may inspect the plumbing during the actual building process before completion. A building permit is issued before construction begins. A conditional use permit does not relate to actual building construction but permits use of a property for a use related to, but not permitted by, zoning ordinances."
An annual crop that is considered personal property is called a(n),fixture.,appurtenance.,intangible property.,emblement.,D,"Annually cultivated crops such as fruit, vegetables, and grains are known as emblements and are considered personal property. A fixture is an item that was once personal property, but that has been attached or affixed to real estate and has become real property. A fixture is tangible and transfers with the property unless detached from the property prior to its sale. An appurtenance is anything that attaches to and runs with the land such as improvements, rights and fixtures."
A "chain of title" is:,the list of all parties who have ever owned real estate in a county.,an involuntary conveyance of title by statutory rules of descent.,a chronology of successive owners of record of a parcel of real estate.,the bundle of rights linked to the recorded title to a parcel.,C,"A ""chain of title"" refers to the series of owners of record relating to a specific property, dating back to the original grant of title from the state to a private party. It is a chronological list (as shown in title records)."
A competent and disinterested person who is authorized by another person to act in his or her place and sign a contract of sale is called:,an attorney-in-fact.,a substitute grantor.,an agent.,a vendor.,A,"An attorney-in-fact is the person named in a power of attorney document. An attorney-in-fact is a fiduciary of the person they are representing, so they must remain ""disinterested"" - acting in an objective manner without any hidden motivation or prospect of gain. For example, a person who made a secret deal to sign a contract contrary to his client's best interests in exchange for an under-the-table payment would not be ""disinterested."""
"When a prospective buyer makes a written purchase offer that the seller accepts, then the:",Buyer receives legal title to the property.,Seller grants the buyer ownership rights.,Buyer receives equitable title to the property.,Buyer may take possession of the real estate.,C,"""Equitable title"" means that the prospective buyer has obtained the right to acquire ownership of a property currently owned and occupied by another."
"A person agrees to sell a property for $500,000. The buyer gives the seller $150 as valuable consideration for a six-month option. Which of the following statements is true?",The buyer must have at least 5% down as valuable consideration,The seller cannot accept money for the option,The $150 is valuable consideration if the seller accepts it,The buyer must have at least 20% down,C,"""Valuable consideration"" is a necessary component of all contracts. It is the benefit one party receives in exchange for granting benefit to the other. Generally it is money in any amount both parties agree to, though it can take other forms such as personal property, work or refraining from an act. If the seller of a home accepts $150 to keep an option to buy open on the property, it will be considered the ""consideration"" necessary to form a valid contract."
What is required if personal property is used as consideration in the purchase of real property?,Bill of sale,A current appraisal of the personal property,Writ of Attachment,Title insurance,A,A bill of sale is a document that transfers ownership of goods (personal property) from one person to another.
The primary purpose of a deed is to:,transfer title rights.,prevent adverse possession.,prove ownership.,give constructive notice.,A,"A deed is the instrument by which ownership of a property is transferred from one person to another, while a title is evidence of that ownership. A title is evidence of ownership, a deed is evidence of the transfer."
"A borrower defaulted on his home mortgage loan payments, and the lender obtained a court order to foreclose on the property. At the foreclosure sale, the property sold for $164,000; the unpaid balance on the loan at the time of foreclosure was $178,000. What must the lender do to recover the $14,000 that the borrower still owes?",Seek a judgment by default,Sue for specific performance,Seek a deficiency judgment,Sue for damages,C,"A deficiency judgment is an unsecured money judgment against a borrower whose mortgage foreclosure sale did not produce sufficient funds to pay the underlying promissory note, or loan, in full."
Which of the following may appear on a closing statement as a credit to the buyer?,Property taxes after the closing date of March 31st until June 30th,Property taxes after November 15th to the date of closing,Commission paid to the broker,The balance of an assumed loan,D,"A loan assumption is when a buyer takes over the seller’s loan. Since the buyer does not need to bring that loan amount to closing, it appears as a credit to the buyer."
Which of the following would be used to clear a defect from the title records?,Writ of attachment,Suit to quiet title,Lis pendens,Estoppel certificate,B,"A suit to quiet title is used to correct mistakes or disputes in the property title, thereby “quieting” other claims."
"On a settlement statement, the cost of the required lender’s title insurance policy is usually shown as a:",credit to the buyer,credit to the seller,debit to the seller,debit to the buyer,D,"The buyer must purchase lender’s title insurance, so it appears as a debit (money owed) on the buyer’s side of the settlement statement."
A deed of conveyance contained only the following guarantee: “This property was not encumbered during the time the grantor owned it except as noted in this deed.” What type of deed did the grantor give to the grantee?,General warranty,Special warranty,Quitclaim,Bargain and sale,B,"A special warranty deed guarantees against title defects only during the grantor’s ownership, not before."
The best way to discover a flaw in the recorded title to a piece of real property is by:,a search of title,calling the county surveyor,taking out property insurance,hiring a lawyer,A,A title search ensures the seller has the legal right to sell and checks for liens or encumbrances.
"If a developer wants to build a commercial building closer to the street than is permitted by the local zoning ordinance because the shape of the lot makes a standard setback impossible, the developer should seek a",nonconforming use permit,variance,density zoning permit,conditional use permit,B,A variance allows deviation from zoning rules when strict compliance is impractical.
Joe conveys property to Vivian by delivering a deed. The deed contains six covenants. This is MOST likely a:,grant deed,warranty deed,quitclaim deed,deed in trust,B,A warranty deed includes six covenants that guarantee clear title and the right to transfer.
Which of the following statements concerning the addition or subtraction of land is correct?,Accretion is the gradual deposit of soil through natural causes,Accretion is the gradual loss of soil through natural causes,Erosion is the natural wear and tear of property improvements,Erosion is the gradual deposit of soil due to ocean tides,A,"Accretion refers to gradual deposits of soil by natural forces, increasing land area."
The right of alienation is defined as:,statutes of descent and distribution,the right to make a will,the right to transfer an interest in real property,the right to execute and deliver a deed,C,"Alienation is the owner’s right to transfer property, whether by sale, gift, or will."
"Three years after signing a five-year lease, business A outgrew its rental space. Business A would like business B to take on the responsibility of the lease for the remaining two years. Business B can do this through:",an assignment,a substitution,a rescission,a novation,A,"An assignment transfers the rights and obligations of a lease to another party, with landlord consent."
Which of the following best describes earnest money?,The consideration for the sale of the property,The commission paid the broker,The money provided by the purchaser at the time of entering into a contract,The money deposited by the purchaser with the broker or seller to pay for the expenses of examining the title,C,Earnest money is a good faith deposit showing the buyer’s intent to complete the purchase.
Which of the following could not be real property?,An existing mortgage,Mineral rights,An easement,A fixture,A,"A mortgage is a personal obligation, not real property. Mineral rights, easements, and fixtures are real property."
The covenant in a deed that states that the grantor is the owner and has the right to convey the title is called the:,covenant against encumbrances,covenant of further assurance,covenant of seisin,covenant of warranty forever,C,The covenant of seisin guarantees the grantor holds title and has the right to transfer it.
"Unless there is a deed restriction that states otherwise, the holder of a life estate may do all of the following to their estate except:",devise it,rent it,mortgage it,sell it,A,"A life estate ends at death and cannot be willed to heirs, though it can be rented, sold, or mortgaged."
"Until a land contract is paid in full, what is the status of the purchaser’s interest in the property?",Purchaser holds legal title to the premises,Purchaser possesses a legal life estate in the premises,Purchaser has equitable title in the property,Purchaser has no legal interest in the property,C,"Under a land contract, the buyer has equitable title (use and possession), while the seller retains legal title until full payment."
"When a claim is settled by a title insurance company, the company acquires all rights and claims of the insured against any other person who is responsible for the loss. This is known as what?",Surety bonding,Subrogation,Caveat emptor,Subordination,B,Subrogation means the title insurer takes over the insured’s legal rights to pursue recovery from a responsible third party.
"On a closing statement in a typical real estate transaction, the buyer’s earnest money deposit is reflected as a:",credit to the buyer,credit to the seller and a debit to the buyer,debit to the buyer only,bill of sale,A,"Earnest money is applied toward the purchase price, so it appears as a credit to the buyer."
"When a buyer assumes a mortgage, prepaid insurance and tax reserves will appear on a typical closing statement as a:",credit to the buyer and a debit to the seller,debit to the seller only,credit to the seller only,debit to the buyer and a credit to the seller,D,"The seller has already paid these, so the buyer must reimburse the seller (debit to buyer, credit to seller)."
"On a settlement statement, prorations for real estate taxes paid in arrears are shown as a:",debit to the seller and a credit to the buyer,credit to both the seller and the buyer,debit to both the seller and the buyer,credit to the seller and a debit to the buyer,A,"Taxes paid in arrears are owed by the seller up to the closing date, so they appear as a debit to the seller and credit to the buyer."
Transferring a property's title over to another person can also be called:,consideration.,prescription.,alienation.,proration.,C,"In property law, alienation is the voluntary act of an owner of some property transferring, or otherwise disposing, of the property."
The sudden tearing away or removal of land by action of water is:,accretion.,avulsion.,erosion.,aversion.,B,"In real property law, avulsion refers to a sudden loss or addition to land, which results from the action of water. It differs from erosion, which describes a gradual loss or addition to land resulting from the action of water. NOTE - Avulsion is SUDDEN, while erosion is GRADUAL. Accretion the process of growth or increase."
A defect or a cloud on title to property may be cured by:,bringing an action to register the title.,obtaining proof of satisfaction from all appropriate parties.,paying cash for the property at the settlement.,bringing an action to repudiate the title.,B,"In United States property law, a cloud on title or title defect refers to any irregularity in the chain of title for a property that would give a reasonable person pause before accepting a conveyance of title. It can be cured by obtaining proof of satisfaction between the affected parties, or by a ""quiet title"" order."
"If Joe dies without having made a will, it is said to be:",a testate.,a testator.,intestate.,in probate.,C,"Intestacy is the condition of the estate of a person who dies without having made a valid will or other binding declaration. Alternatively this may also apply where a will or declaration has been made, but only applies to part of the estate; the remaining estate forms the ""intestate estate""."
"Carol enters into a sale-leaseback agreement with Joe, under which Joe will become the owner of Carol’s ranch. Which of these statements is TRUE of this arrangement?",Joe receives possession of the property,Carol is the lessor,Joe is the lessor,Carol retains title to the ranch,C,"A sale-leaseback (short for ""sale-and-lease-back"") is a financial transaction in which one sells an asset and leases it back for the long term. This allows one to be able to use the asset, but no longer own it and be responsible for the costs associated with owning it."
What do liens and easements have in common?,Both are encumbrances,Both must be on public record to be valid,Neither can be done without the consent of the owner,Both are money claims against the property,A,"Liens are, of course, serious in that they indicate the owner has failed to pay a debt secured directly or indirectly by the property. Easements, on the other hand, are a practical necessity for many residential properties. Both, however, result in an encumbrance on the affected property."
"When the grantor does not wish to convey certain property rights, he or she:",may note the exceptions in the deed of conveyance.,must note the exceptions in a separate document.,"may not do so, since the deed conveys the entire premises.",must convey the entire premises and have the grantee reconvey the rights to be retained by the grantor.,A,"An Exception in Deed is a statement in a deed that reserves certain rights for the grantor- for example, if the grantor wants to sell a property but keep the mineral rights in the land."
"On a settlement statement, the selling price is ALWAYS:",greater than the loan amount.,a debit to the seller.,a debit to the buyer.,a credit to the buyer.,C,"On a closing statement for a real estate sale, a debit is an item that is charged to a party. The selling price is the point of reference for all debits and credits on a closing statement, and it is always a debit (debt to be paid) to the buyer."
A bill of sale is used to transfer the ownership of what?,Real property,Appurtenances,Personal property,Fixtures,C,"Personal property differs from ""real property"" in a number of respects, most importantly its portability. Cars, furniture, clothing, paintings, jewelry, appliances and just about any other non-food item one buys are examples of personal property. A bill-of-sale is proof of the transfer of ownership of personal property."
The recording of a deed:,insures the interest in a parcel of real estate.,is all that is required to transfer the title to real estate.,gives constructive notice of the ownership of real property.,warrants the title to real property.,C,"Recording a deed does not convey, insure or warrant ownership. However, it does protect the owner's interest in a property by serving notice that the recorded owner is the only recognized holder of title. This places a larger burden of proof and process on someone trying to assert a prior ownership interest and/or claiming a deedholder's title is clouded."
To rehabilitate real property usually means:,the property will be restored to a good condition.,the property must be replaced to obtain its highest and best use potential.,design changes must be made to the property.,the use of the property will be changed.,A,Rehabilitation of property means to restore real property to an improved state. The restoration is usually needed because the property's condition has worsened.
"What kind of lien is created as a result of a judgment, estate or inheritance taxes, the decedent’s debts, or unpaid federal income taxes?",General,Specific,Voluntary,Equitable,A,"A tax lien or judgment lien attaches to all personal and real property of a person or firm (the ""lienee""), which makes it a general lien. The attachment of judgement liens to personal property can vary state-by-state but is recognized at the national level."
Which lien has priority in a foreclosure sale?,Delinquent property taxes,Mortgagee or original lender,First lien recorded,Mechanics or materialmen who file a timely notice after commencing work on the property,A,"Tax liens take priority over all other liens, including liens recorded prior to a tax lien."
"When real estate under an estate for years agreement is sold, what happens to the lease?",It binds the new owner,It expires with the conveyance,It is valid but unenforceable,It is subject to termination with proper notice,A,"Tenancy for years is the common form of rental agreements, and it generally binds all future owners of the property for the term of the lease."
"Stephen, his nephew, and his niece are joint tenants. Stephen sells his interest to his sister, and then his nephew dies. As a result, which of these statements is TRUE?",The nephew’s heirs are joint tenants with Stephen and his sister,Stephen’s niece and sister are tenants in common,Stephen's niece and sister are joint tenants,"The nephew’s heirs and Stephen are joint tenants, but the sister is a tenant in common",B,"Tenancy in Common is ownership of real property by two or more parties that hold an interest in the property- they share only possession, not necessarily time, title, or interest equality. Joint Tenancy is an interest in property taken by two or more joint tenants with equal interest, sharing the same title and possession, and beginning at the same time. Upon the death of a joint tenant, the interest passes to the surviving joint tenants rather than to the heirs of the deceased. NOTE - When Stephen's nephew dies, his share passes to the niece. But because the sister's interest didn't begin at the same time as the niece's, they can't be Joint Tenants- so their common ownership reverts to Tenancy in Common."
Joe and Susan own property as joint tenants. Susan then sells her interest to Carol. What is the relationship between Joe and Carol regarding the property?,Tenants by the entirety,No relationship exists because Susan cannot sell her joint tenancy interest,Joint tenants,Tenants in common,D,"If one joint tenant sells or transfers their interest to a third party, the joint tenancy is typically converted into a tenancy in common, as the right of survivorship only applies to the original joint tenants."
"A purchaser obtains financing from a local credit union to purchase a condominium unit. In this situation, which of these BEST describes the purchaser?",Lessor,Vendor,Grantor,Mortgagor,D,"The mortgagor is the borrower in a mortgage, typically a homeowner. The borrower gives the lender a mortgage, which can be considered a ""pledge"" to pay the borrowed money back, so the lender is the ""mortgagee."""
"If someone has a license to cross private property, which of the following would cause the license to terminate?",The person with the license had not used it for six months,The property was sold,The property had a tax lien filed against it,The person with the license had not used it for one year,B,"If a property was sold, it would terminate a license for crossing a private property because the issuer of the license (the previous property owner) would no longer be involved. The new owner would need to grant a new license to the person who wants to cross the private property."
What is the difference between a general lien and a specific lien?,"A specific lien is a lien against a certain parcel of real estate, while a general lien covers all of a debtor’s property.","A general lien cannot be enforced in court, while a specific lien can.","A specific lien is held by only one person, while a general lien must be held by two or more people.","A general lien is a lien against personal property, while a specific lien is a lien against real estate.",A,"A general lien is against all the property owned by a debtor. This is different from a specific lien, which is against a specific piece of property. With a specific lien, the specific piece of property alone satisfies the debt- the lien does not attach to other property owned by the debtor, as it does with a general lien."
"""Boot” is a term used in a 1031 Exchange when which of the following happens?",When there is a difference between the equity of properties being exchanged,When depreciating an income property for tax purposes,When taxable income is more than the true value of the property,When straight line depreciation is used for an income property,A,"The term ""boot"" is not used in the Internal Revenue Code or the Regulations, but is commonly used in discussing the tax consequences of a Section 1031 tax-deferred exchange. For example, if a property worth $150,000 is exchanged for a property worth $145,000 plus $5000 cash, the cash is considered the boot. Receipt of boot doesn't disqualify an exchange, but it may result in a taxable gain."
The term "boot" would probably be considered in connection with a(n):,exchange.,leasehold estate.,depreciation area.,secondary market.,A,"The term ""boot"" is not used in the Internal Revenue Code or the Regulations, but is commonly used in discussing the tax consequences of a Section 1031 tax-deferred exchange. For example, if a property worth $150,000 is exchanged for a property worth $145,000 plus $5000 cash, the cash is considered the boot. Receipt of boot doesn't disqualify an exchange, but it may result in a taxable gain."
"In most states, by paying the debt after a foreclosure sale, the mortgagor has the right to regain the property. What is this right called?",Owner's right of redemption,Vendee's right of redemption,Equitable right of redemption,Statutory right of redemption,D,"In most states, after a foreclosure sale, the mortgagor (the person who took out the mortgage) may have the right to regain the property by paying off the debt, including any additional costs and interest. This right is known as the ""statutory right of redemption."" It is defined by state law rather than arising out of the mortgage contract itself (which makes it ""statutory""). The statutory right of redemption allows the original property owner a specified amount of time after the foreclosure sale to redeem the property by paying the sale price and any other charges. The duration of the redemption period varies by state, and not all states offer this right. This right exists to protect homeowners from losing their property for less than its fair market value and to provide an additional opportunity to retain their property even after foreclosure. Equitable Right of Redemption allows the mortgagor (the borrower) to redeem the property before the foreclosure sale takes place. It is based on equitable principles, meaning it's recognized as a fair opportunity for the borrower to keep their property by paying off the full amount owed, including any interest and fees, up until the time of the foreclosure auction or sale. The equitable right of redemption exists in virtually all states and is available up until the foreclosure sale. The purpose is to give the borrower a last chance to save their property by settling their debts."
The cost of title insurance is based primarily on:,statutes of descent and distribution.,any number of covenants in the warranty deed.,the value of a property.,the age of a property.,C,"Title insurance protects a lender or borrower from financial loss due to defects in a property's title, for example if a deed or deed of trust is fraudulent, lost, or incorrectly filed. The cost of title insurance varies mostly based on a property's value."
"Which of the following provides a buyer with the best assurance of clear, marketable title?",General warranty deed,Abstract of title,Title insurance,Certificate of title,C,"Of the answers provided, title insurance provides the best assurance of marketable title."
Voluntary alienation refers to:,adverse possession.,descent.,a sale or gift.,eminent domain.,C,Voluntary alienation is the transfer of real property (or some other asset) through a person's intentional actions and of their own free will.
If a buyer agrees to purchase a home "as is":,None of the other options are correct.,neither the seller nor the agent is required to reveal known defects.,the agent must reveal known defects to the buyer.,known defects are irrelevant to an "as is" purchase.,C,"""As is"" means the home is being sold in its present condition, but it does not mean that the buyer must agree to buy the home without investigating any potential problems. Generally, states require material fact property disclosures be provided to buyers, regardless of the type of sale agreement."
"In a settlement statement, how will a proration of prepaid water, gas, and electric charges be reflected?",As a debit to the buyer only,As a debit to the buyer and a credit to the seller,As a credit to the seller only,As a debit to the seller and a credit to the buyer,B,"In this situation, prepaid utility charges would show as a credit to the seller (because the seller has already paid for them) and a debit to the buyer (because the buyer needs to pay the seller back for them)."
An interest in real estate is best defined as ownership of,the full bundle of rights to real property,an estate,one or more of the bundle of rights to real property,the right to possession and use of real property,c,"An interest in real estate is ownership of any combination of the bundle of sticks, including the rights to possess, use, transfer, encumber and exclude"
Encumbrances and police powers are,interests that do not include possession,limited forms of an estate,unrelated to interests,types of public interests,a,An encumbrance enables a non-owning party to restrict the owner's bundle of rights. Government entities also have nonpossessory interests in real estate which act to control land use for the public good within the entity's jurisdiction. The prime example of public interest is police power
What distinguishes a freehold estate from a leasehold estate?,A freehold includes the right to dispose or use,A leasehold endures only for a specific period of time,A freehold cannot be defeasible,A leasehold is subject to government restrictions,b,"Freehold estates are ownership estates, and their duration cannot be determined. A leasehold endures only for a specific period of time"
The highest form of ownership interest one can acquire in real estate is the,dower and curtesy,conventional life estate,defeasible fee simple estate,absolute fee simple estate,d,"The fee simple freehold estate is the highest form of ownership interest one can acquire in real estate. It includes the complete bundle of rights, and the tenancy is unlimited, with certain exceptions. The fee simple absolute estate is a perpetual estate that is not conditioned by stipulated or restricted uses"
The distinguishing feature of a defeasible fee simple estate is that,it can be passed on to heirs,it has no restrictions on use,the estate may revert to a grantor or heirs if the prescribed use changes,it is of unlimited duration,c,"The defeasible fee estate is perpetual, provided the usage conforms to stated conditions. Essential characteristics are: the property must be used for a certain purpose or under certain conditions; and, if the use changes or if prohibited conditions are present, the estate reverts to the previous grantor of the estate"
"Upon the death of the owner, a life estate passes to",the original owner or other named person,the owner's heirs,the state,the owner's spouse,a,"Upon the death of the owner or other named individual, the estate passes to the original owner or another named party"
How is a conventional life estate created?,It happens automatically when title transfers unless a fee simple is specifically claimed,A fee simple owner grants the life estate to a life tenant,It is created by judicial action,It is created by a statutory period of adverse possession,b,"A conventional life estate is created by grant from a fee simple property owner to the grantee, the life tenant"
What distinguishes a pur autre vie life estate from an ordinary life estate?,The pur autre vie estate endures only for the lifetime of the grantor,The pur autre vie estate endures only for the lifetime of the grantee,The pur autre vie estate endures only for the lifetime of a person other than the grantee,The pur autre vie estate cannot revert to the grantor,c,"A pur autre vie life estate endures over the lifetime of a third person, after which the property passes from the tenant holder to the original grantor (reversion) or a third party (remainderman)"
Which of the following life estates is created by someone other than the owner?,Conventional life estate,Ordinary life estate,Legal life estate,Community property life estate,c,A legal life estate is created by state law as opposed to being created by a property owner's agreement
Which of the following is true of a homestead?,A homestead interest cannot be conveyed by one spouse,A homestead interest cannot be passed to the children of the head of household,A homestead interest is a form of conventional life estate,A homestead is a primary or secondary residence occupied by a family,a,A homestead is one's principal residence. Homestead laws protect family members against losing their homes to general creditors attempting to collect on debts. Homestead laws generally provide that: the homestead interest cannot be conveyed by one spouse; both spouses must sign the deed conveying homestead property
Dower refers to,joint tenancy of husband and wife,a wife's life estate interest in her husband's property,a wife's homestead interest,a child's life estate interest in his or her parents' homestead,b,"Dower refers to a wife's life estate interest in the husband's property. When the husband dies, the wife can make a claim to portions of the decedent's property. Curtesy is the identical right enjoyed by the husband in a deceased wife's property. Property acquired under dower laws is owned by the surviving spouse for the duration of his or her lifetime"
Which of the following is an illustration of the legal concept of elective share?,A surviving spouse places a lien on a debtor's property,A widow who was excluded from a will makes a claim to a portion of the couple's principal residence,A spouse who loses her home because of her husband's gambling debt sues in court for exemption from the debt,A widower whose spouse died without a will sues to change the provisions of the will,b,Elective share is a state-level statute enabling a surviving spouse to make a minimum claim to the deceased spouse's real and personal property in place of the provisions for such property in the decedent's will
"A one-year lease on a house has expired, but the tenant continues sending monthly rent checks to the owner, and the owner accepts them. What kind of leasehold estate exists?",Estate for years,Estate from period to period,Estate at will,Estate at sufferance,b,"In an estate from period-to-period, also called a periodic tenancy, the tenancy period automatically renews for an indefinite period of time, subject to timely payment of rent. At the end of a tenancy period, if the landlord accepts another regular payment of rent, the leasehold is considered to be renewed for another period"
Which of the following scenarios represents an owner’s undivided fractional interest in a property?,A local municipality is condemning an 8-story building,Condominium owners allocate three floors as a designated parking space,A general contractor encumbered the property when the condominium owner failed to pay,A mortgagor conveys legal title to the mortgagee,b,The undivided interest represents an owner’s interest when there are two or more parties in a shared estate. It does not reflect the physical division of the property
Which of the following represents the highest form of estate ownership?,Leasehold estate,Homestead estate,Pur autre vie estate,Fee simple absolute estate,d,"Properties conveyed as Fee Simple Absolute estates are considered the highest form of ownership because the heirs can dispose of, enjoy, exclude, control, and possess the property generally without restriction"
Which of the following distinguishes a determinable estate from a condition subsequent estate?,A determinable estate focuses on the use of the estate,The dispute of a determinable estate is settled in court,The recipient of a determinable estate determines the use of the estate,The remainderman of the determinable estate inherits the property,a,"In a fee simple defeasible estate, the use of the property is established by the owner through a determinable estate. Should the property not be used according to the owner’s instructions, the property will automatically revert back to the grantor"
Which of the following reflects an estate restricted by specific dates or duration?,Estates in land,Legal life estate,Freehold tenancy,Leasehold estate,d,"A leasehold estate refers to rental properties, whereby a lessor transfers possession of a premises to a lessee for a definitive period of time"
Which of the following is a right provided to a life tenant?,Possession,Inheritance,Disposing,Gifting,a,The life tenant holds the rights of possession during a life estate and reverts to the original owner or to another designated individual upon death
What type of leasehold estate does not have a definitive end date?,An estate for years,A tenancy for years,An estate at sufferance,An estate at will,d,An estate at will continues indefinitely and terminates when either party gives sufficient notice or upon death
Which of the following statements describes a circumstance that involves an owner’s use of homestead rights?,An owner sells the property to a neighbor,An owner is forced to sell his or her principal residence to satisfy unsecured creditors,An owner is selling the property by voluntary alienation,The grantor is creating a life estate for an elderly parent,b,The homestead right is a form of protection against unsatisfied creditors attempting to collect a debt
How do fee simple estates differ from life estates?,Fee simple estates are inheritable,Life estates transfer assets only between family members,All fee simple estates are conditional,Fee simple estates have fewer rights than life estates,a,Ownership rights in fee simple estates include the right to dispose of the property
What type of leasehold allows a tenant to renew the terms automatically?,Estate for years,Estate at sufferance,Estate from period-to-period,Estate in tenancy,c,The lease automatically renews upon acceptance of rent from the tenant to the landlord
